Id,Competitor,Rating,Logo,Difference,Jobbuzzname,Website,Work Life Balance ,Salary,Company Culture,Career Growth,Industry,Founded,Founders,Turnover,Headquarters,Employees,Compititors,Description
49,Ashok Leyland,3.7,http://jobbuzz.timesjobs.com/ndata_images/logos/000196.png,N,Ashok Leyland Ltd,http://www.ashokleyland.com/,3.8,3.8,3.6,3.7, Transportation Equipment,1948, Vinod K. Dasari, 10000+," Chennai, Tamil Nadu, India", 10001+," Force Motors Ltd , Tata Motors Ltd , Eicher Motors Ltd","Ashok Leyland is an Indian automobile manufacturing company based in Chennai, India. Founded in 1948, it is the 2nd largest commercial vehicle manufacturer in India, 4th largest manufacturer of buses in the world and 16th largest manufacturer of trucks globally. Operating six plants, Ashok Leyland also makes spare parts and engines for industrial and marine applications. It sells about 60,000 vehicles and about 7,000 engines annually. It is the second largest commercial vehicle company in India in the medium and heavy commercial vehicle (M&HCV) segment with a market share of 28% (2007–08). With passenger transportation options ranging from 19 seaters to 80 seaters, Ashok Leyland is a market leader in the bus segment. The company claims to carry more than 60 million passengers a day, more people than the entire Indian rail network. In the trucks segment Ashok Leyland primarily concentrates on the 16 ton to 25 ton range of trucks. However Ashok Leyland has presence in the entire truck range starting from 7.5 tons to 49 tons. With a joint venture with Nissan Motors of Japan the company made its presence in the Light Commercial Vehicle (LCV) segment (<7.5 tons).Ashok Leyland's UK subsidiary Optare has shut down its bus factory in Blackburn, Lancashire.  This subsidiary's traditional home in Leeds has also been vacated in favour of a purpose built plant at Sherburn-in-Elmet."
50,Asian Paints,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000201.gif,N,Asian Paints Ltd,http://www.asianpaints.com/,3.8,3.8,3.8,3.8," Chemicals, Paints & Fertilizers",1942, K.B.S. Anand, 10000+, Mumbai, 1001 - 5000," Blend Colours Pvt Ltd , NEROLAC PAINTS LTD. , Berger Paints India Ltd , JOTUN Paints India Pvt Ltd , Shalimar Paints Ltd , Pidilite Industries Ltd","Asian Paints Limited is an Indian chemicals company headquartered in Mumbai, India.  It manufactures paints for decorative and industrial use. Asian Paints is India's largest paint company and Asia's third largest paint company, with a turnover of Rs 140 billion. Besides Asian Paints, the group operates around the world through its subsidiaries Berger International Limited, Apco Coatings Limited, SCIB Paints and Taubmans."
51,Aspire Systems,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003134.png,N,Aspire Systems India Pvt Ltd,http://www.aspiresys.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",1996, Gowri Shankar Subramanian, 1 - 100," Chennai, Tamil Nadu", 501 - 1000,-,"Aspire Systems is a software development services company with presence in US, UK, BeNeLux, Middle East and India. (Chennai, Hyderabad, Gurgaon, Chicago, San Jose, London and Dubai).     Founded in 1997, Aspire Systems is a recipient of Deloitte Technology Fast 50 India award in 2006. It offers services including Outsourced Product Development, Software Testing, Infrastructure Application Support & Oracle Services."
52,Atos,3.3,http://jobbuzz.timesjobs.com/ndata_images/logos/001186.gif,N,Atos Pvt Ltd,http://atos.net/en-us/,3.4,3.2,3.2,3.2," Technology (IT, Telecom, Dot Com Etc)",-,-, 10000+,-, 10001+,-,"Atos SE  is a European IT services corporation headquartered in Bezons, France, that provides consulting & managed services and systems integration, hi-tech transactional services, cloud and cybersecurity services.   Atos operates under the brands Atos, Atos Consulting & Technology Services, Worldline, Atos Worldgrid and Atos Healthcare.From 2012 - 2015, Atos Healthcare was part of a serious controversy in the UK over Work Capability Assessment introduced in 2008 to determine who should receive employment and support allowance. Decisions were taken by officials at the DWP using evidence from the assessments carried out by Atos Healthcare.  In August 2015, statistics from the Department of Work and Pensions revealed that 2,380 people had died between 2011 - 2014 soon after being found fit for work through disability benefit assessments.  In September 2015, in a groundbreaking ruling, the coroner summing up the suicide of a claimant who had been assessed by Atos said the Atos healthcare professional had failed to take into account the views of any of Mr A’s doctors during a 90-minute assessment, telling him the DWP decision-maker would look at that evidence instead.  The DWP negotiated an early exit from the existing WCA contract with Atos in 2014 ""after raising concerns about the quality of its work"".  "
53,AT&T,3.1,http://jobbuzz.timesjobs.com/ndata_images/logos/000206.gif,N,Atlanta Ltd,http://www.atlantainfra.co.in/,3.4,3,2.9,3.1, Other Industry,-,-, 100 - 500,-, 501 - 1000,-,"AT&T Inc. is an American multinational telecommunications corporation, headquartered at Whitacre Tower in downtown Dallas, Texas.  AT&T is the second largest provider of mobile telephone and the largest provider of fixed telephone  in the United States, and also provides broadband subscription television services. AT&T is the third-largest company in Texas (the largest non-oil company, behind only ExxonMobil and ConocoPhillips, and also the largest Dallas company).  As of May 2014, AT&T is the 23rd-largest company in the world as measured by a composite of revenues, profits, assets and market value,  and the 16th-largest non-oil company.  As of 2015, it is also the 18th-largest mobile telecom operator in the world, with over 126.4 million mobile customers. AT&T Inc. began its existence as Southwestern Bell Corporation, one of seven Regional Bell Operating Companies (RBOC's) created in 1983 in the divestiture of the American Telephone and Telegraph Company (founded 1885, later AT&T Corp.) following the 1982 United States v. AT&T antitrust lawsuit. Southwestern Bell changed its name to SBC Communications Inc. in 1995. In 2005, SBC purchased former parent AT&T Corp. and took on its branding, with the merged entity naming itself AT&T Inc. and using the iconic AT&T Corp. logo and stock-trading symbol.The current AT&T reconstitutes much of the former Bell System and includes ten of the original 22 Bell Operating Companies, along with the original long distance division. "
54,Attero Recycling,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003443.gif,N,Attero Recycling Pvt Ltd,http://www.attero.in,0,0,0,0, Other Services,-,-, 1 - 100,-, 201 - 500,-,0
55,aurionPro,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/002621.png,N,Aurionpro Solutions Ltd,http://www.aurionpro.com,2.5,2.5,2.5,2.5," Technology (IT, Telecom, Dot Com Etc)",1997, Samir Shah, 100 - 500, Mumbai, 1001 - 5000,-,0
56,Autonomy,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003553.gif,N,Autonomy Interwoven Software Services India Pvt Ltd,http://www.interwoven.com,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 2500 - 5000,-, 1001 - 5000,-,0
57,Aurobindo Pharma,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/002476.png,N,Aurobindo Pharma Ltd,http://www.aurobindo.com,3.4,3.4,3.4,3.4," Chemicals, Paints & Fertilizers",1986, Mr. Arvind Vasudevan, 2500 - 5000, Hyderabad, 5001 - 10000," Sun Pharmaceutical Industries Ltd. , Dr. Reddys Laboratories Ltd , Cipla Ltd","Aurobindo Pharma Limited is a pharmaceutical manufacturing company headquartered in HITEC City, Hyderabad, India. The company manufactures generic pharmaceuticals and active pharmaceutical ingredients. The company’s area of activity includes six major therapeutic/product areas: antibiotics, anti-retrovirals, cardiovascular products, central nervous system products, gastroenterologicals, and anti-allergics.  The company markets these products in over 125 countries.  Its marketing partners include AstraZeneca  and Pfizer. The company commenced operations in 1988-89 with a single unit manufacturing Semi-Synthetic Penicillin (SSP) at Pondicherry. Aurobindo Pharma became a public company in 1992 and listed its shares in the Indian stock exchanges in 1995. In addition to being the market leader in Semi-Synthetic Penicillins , it has a presence in key therapeutic segments such as neurosciences, cardiovascular, anti-retrovirals, anti-diabetics, gastroenterology and cephalosporins, among others.Aurobindo Pharma features among the top 10 companies in India in terms of consolidated revenues.  Aurobindo exports to over 125 countries across the globe with more than 70% of its revenues derived out of international operations."
58,Aurum Infocomm,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003921.gif,N,Aurum Infocomm Ltd,http://www.aurumindia.com,0,0,0,0," Banking, Financial Services & Insurance",-,-, 1 - 100,-, 201 - 500,-,0
59,Avaya,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000207.gif,N,Avaya India Pvt Ltd,http://www.avaya.com/usa/,3.9,3.4,3.6,3.5," Technology - IT, Telecom, Semiconductors",-,-, 10000+,-, 10001+,-,"Avaya Inc. (/əˈvaɪ.ə/) is an American multinational technology company headquartered in Santa Clara, California that provides multi-channel business communication products for customer and team engagement. Avaya currently services organizations at over 1 million customer locations worldwide with operations divided globally in 5 regions:  Asia Pacific; Caribbean, Latin America; Europe, Middle East and Africa (MEA); and the United States and Canada."
60,Apt Software Avenues Pvt Ltd,4.3,http://jobbuzz.timesjobs.com/ndata_images/logos/006654.gif,N,Apt Software Avenues Pvt Ltd,http://www.aptsoftware.com,5,3.5,4.7,4," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 51 - 200,-,0
61,Avnet Technology,2.5,http://jobbuzz.timesjobs.com/ndata_images/logos/003445.gif,N,Avnet Technology Solutions India Pvt Ltd,http://www.ats.avnet.co.in,0,0,0,0," Technology (IT, Telecom, Dot Com Etc)",-,-, 1 - 100,-, 201 - 500,-,0
62,Axis Bank,3.4,http://jobbuzz.timesjobs.com/ndata_images/logos/000210.gif,N,Axis Bank Ltd,http://www.axisbank.com,3.2,3.6,3.3,3.4," Banking, Financial Services & Insurance",1994, Shikha Sharma, 10000+, Mumbai, 10001+," Kotak Mahindra Bank , ICICI Bank Ltd , IndusInd Bank Ltd","Axis Bank Limited (formerly UTI Bank) is the third largest private sector bank in India. Although classified as a private sector bank, Axis Bank's promoters ( UTI, LIC and GIC, which collectively held approx. 34% of the shares as at 31 December 2013), are all entities owned and controlled by the Government of India.The bank offers financial services to customer segments covering Large and Mid-Sized Corporates, MSME, Agriculture and Retail Businesses.  Axis Bank has its registered office at Ahmedabad."
63,Axa,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000209.gif,N,Axa Business Services Pvt Ltd,http://www.axa-bs.com/,3.9,3.6,3.6,3.4," BPOs, KPOs, LPOs, ITES, Transcription",1999,-, 10000+, Bangalore, 10001+," Infosys Technologies Ltd , HCL Technologies Ltd , Tata Consultancy Services Ltd","AXA is a French multinational insurance firm headquartered in the 8th arrondissement of Paris that engages in global insurance, investment management, and other financial services. The AXA Group operates primarily in Western Europe, North America, the Asia Pacific region, and the Middle East; with presence also in Africa. AXA is a conglomerate of independently run businesses, operated according to the laws and regulations of many different countries. The company is a component of the Euro Stoxx 50 stock market index. "
64,Bally Technologies,3.6,http://jobbuzz.timesjobs.com/ndata_images/logos/000225.gif,N,Bally Technologies Ltd,http://ballytech.com/,3.1,4.2,3.5,3.7," Media, Entertainment, Advertising & Related Services",-,-, 2500 - 5000,-, 1001 - 5000,-,"Bally Technologies, Inc. is a manufacturer of slot machines and other gaming technology based in Enterprise, Nevada. It is owned by Scientific Games Corporation.The company was founded in 1968 as Advanced Patent Technology. It eventually changed its name to Alliance Gaming and acquired, in 1996, Bally Gaming International, a former division of Bally Manufacturing. In 2006, the entire company adopted the Bally name. Scientific Games acquired the company in 2014."
65,Bank of America,3.8,http://jobbuzz.timesjobs.com/ndata_images/logos/000229.gif,Y,Bank of America,https://www.bankofamerica.com/,4,3.5,3.8,3.9," Banking, Financial Services & Insurance",1998, Brian T. Moynihan, 10000+," Bank of America Corporate Center, Charlotte, North Carolina", 10001+," Wells Fargo India Solutions Pvt Ltd , JPMorgan Chase & Co","Bank of America (abbreviated as BofA) is an American multinational banking and financial services corporation headquartered in Charlotte, North Carolina. It is the second largest bank holding company in the United States by assets.  As of 2013, Bank of America is the twenty-first largest company in the United States by total revenue. In 2010, Forbes listed Bank of America as the third biggest company in the world. Bank of America provides its products and services through operating 5,100 banking centers, 16,300 ATMs, call centers, and online and mobile banking platforms. Its Consumer Real Estate Services segment offers consumer real estate products comprising fixed and adjustable-rate first-lien mortgage loans for home purchase and refinancing needs, home equity lines of credit, and home equity loans. The bank's 2008 acquisition of Merrill Lynch made Bank of America the world's largest wealth management corporation and a major player in the investment banking market.  According to the Scorpio Partnership Global Private Banking Benchmark 2014 it had assets under management (AuM) of USD 1,866.6 Bn an increase of 12.5% on 2013. "
66,Barclays Bank,3,http://jobbuzz.timesjobs.com/ndata_images/logos/000231.gif,N,Barclays Bank PLC,http://www.barclays.co.uk/PersonalBanking/P1242557947640,3.1,3.3,2.9,2.8," Banking, Financial Services & Insurance",-,-, 10000+,-, 10001+," Citibank India , Deutsche Bank Ltd , Hongkong and Shanghai Banking Corporation Ltd , Standard Chartered Bank Ltd , Royal Bank of Scotland","Barclays /ˈbɑːkliz/ is a British multinational banking and financial services company headquartered in London. It is a universal bank with operations in retail, wholesale and investment banking, as well as wealth management, mortgage lending and credit cards. It has operations in over 50 countries and territories and has around 48 million customers.  As of 31 December 2011 Barclays had total assets of US$2.42 trillion, the seventh-largest of any bank worldwide. Barclays is organised into four core business: Personal & Corporate (Personal Banking, Corporate Banking, Wealth & Investment Management), Barclaycard, Investment Banking and Africa.  Barclays traces its origins to a goldsmith banking business established in the City of London in 1690.  James Barclay became a partner in the business in 1736. In 1896 several banks in London and the English provinces, including Backhouse's Bank and Gurney's Bank, united as a joint-stock bank under the name Barclays and Co. Over the following decades Barclays expanded to become a nationwide bank. In 1967, Barclays deployed the world's first cash dispenser. Barclays has made numerous corporate acquisitions, including of London, Provincial and South Western Bank in 1918, British Linen Bank in 1919, Mercantile Credit in 1975, the Woolwich in 2000 and the North American operations of Lehman Brothers in 2008."
